date,Total Hrs.,C#,N_E_JS,WP,HTML/CSS,D3,THREE
1/1/2020,1,1,1,0,0,0,0
1/2/2020,1,1,1,0,0,0,0
1/3/2020,1,1,1,0,0,0,0
1/4/2020,61,0,29,29,42.5,0,0
1/5/2020,179.5,0,5,0,169.5,0,0
1/6/2020,165,0,92,0,56.5,0,0
1/7/2020,195,10,80.5,0,105,0,0
1/8/2020,214.5,15.5,122,0,68.5,0,0
1/9/2020,149,0,123.5,13.5,7.5,0,0
1/10/2020,142.5,32.5,38.5,0,30.5,0,0
1/11/2020,136,67,58,.5,9.5,0,0
1/12/2020,139,51,42.5,0,11.5,22.5,0
1/1/2021,157,6.5,127,0,10,15.5,0
1/2/2021,182,,112.5,0,10,64.5,0
1/3/2021,105,0,90,,15,0,0
1/4/2021,84.5,0,65,0,20,0,0
1/5/2021,1,0,0,0,0,0,0
1/6/2021,56.5,0,52,0,0,0,0
1/7/2021,168.5,0,117.5,0,20,20,0
1/8/2021,172,0,70,0,0,62,32
1/9/2021,183,0,0,0,0,160,0
1/10/2021,164.5,0,27,0,0,120,0
1/11/2021,131,0,16,0,0,100,10
1/12/2021,107.5,15,0,5,0,85,0
1/1/2022,146.5,3.5,0,0,0,140,0
1/2/2022,148,0,134,0,0,12,0
1/3/2022,83,0,45.5,0,0,0,34.5
1/4/2022,130.5,0,0,0,0,0,130.5
1/5/2022,92,22.5,15.5,0,0,0,54
1/6/2022,121,0,111,0,0,0,0
1/7/2022,120.5,0,102.5,0,0,0,0
1/8/2022,75.5,0,72,0,0,0,0
1/9/2022,70,0,20.5,0,0,0,39
1/10/2022,101.5,0,0,0,0,0,83.5
1/11/2022,63,0,0,0,0,0,55
1/12/2022,118,0,0,0,0,103.5,0
1/1/2023,129.5,0,7.5,0,20.5,27,78