date,C#,N_E_JS,WP,html/CSS,D3,THREE
1/1/2020,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0
1/4/2020,0,29,29,42.5,0,0
1/5/2020,0,34,29,212,0,0
1/6/2020,0,126,29,268.5,0,0
1/7/2020,10,206.5,29,373.5,0,0
1/8/2020,25.5,328.5,29,442,0,0
1/9/2020,25.5,452,42.5,449.5,0,0
1/10/2020,58,490.5,42.5,480,0,0
1/11/2020,125,548.5,43,489.5,0,0
1/12/2020,176,591,43,501,22.5,0
1/1/2021,182.5,718,43,511,38,0
1/2/2021,182.5,830.5,43,521,102.5,0
1/3/2021,182.5,920.5,43,536,102.5,0
1/4/2021,182.5,985.5,43,556,102.5,0
1/5/2021,182.5,985.5,43,556,102.5,0
1/6/2021,182.5,1037.5,43,556,102.5,0
1/7/2021,182.5,1155,43,576,122.5,0
1/8/2021,182.5,1225,43,576,184.5,32
1/9/2021,182.5,1225,43,576,344.5,32
1/10/2021,182.5,1252,43,576,464.5,32
1/11/2021,182.5,1268,43,576,564.5,42
1/12/2021,197.5,1268,48,576,649.5,42
1/1/2022,201,1268,48,576,789.5,42
1/2/2022,201,1402,48,576,801.5,42
1/3/2022,201,1447.5,48,576,801.5,76.5
1/4/2022,201,1447.5,48,576,801.5,207
1/5/2022,223.5,1463,48,576,801.5,261
1/6/2022,223.5,1574,48,576,801.5,261
1/7/2022,223.5,1676.5,48,576,801.5,261
1/8/2022,223.5,1748.5,48,576,801.5,261
1/9/2022,223.5,1769,48,576,801.5,300
1/10/2022,223.5,1769,48,576,801.5,383.5
1/11/2022,223.5,1769,48,576,801.5,438.5
1/12/2022,223.5,1769,48,576,905,438.5
1/1/2023,223.5,1776.5,48,596.5,932,516.5