date,hours,C_sh,N_E_JS,WP,htmlCSS,D3,THREE
1/1/2020,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0
1/4/2020,61,0,29,29,42.5,0,0
1/5/2020,240.5,0,34,29,212,0,0
1/6/2020,405.5,0,126,29,268.5,0,0
1/7/2020,600.5,10,206.5,29,373.5,0,0
1/8/2020,815,25.5,328.5,29,442,0,0
1/9/2020,964,25.5,452,42.5,449.5,0,0
1/10/2020,1106.5,58,490.5,42.5,480,0,0
1/11/2020,1242.5,125,548.5,43,489.5,0,0
1/12/2020,1381.5,176,591,43,501,22.5,0
1/1/2021,1538.5,182.5,718,43,511,38,0
1/2/2021,1720.5,182.5,830.5,43,521,102.5,0
1/3/2021,1825.5,182.5,920.5,43,536,102.5,0
1/4/2021,1910,182.5,985.5,43,556,102.5,0
1/5/2021,1911,182.5,985.5,43,556,102.5,0
1/6/2021,1967.5,182.5,1037.5,43,556,102.5,0
1/7/2021,2136,182.5,1155,43,576,122.5,0
1/8/2021,2308,182.5,1225,43,576,184.5,32
1/9/2021,2491,182.5,1225,43,576,344.5,32
1/10/2021,2655.5,182.5,1252,43,576,464.5,32
1/11/2021,2786.5,182.5,1268,43,576,564.5,42
1/12/2021,2894,197.5,1268,48,576,649.5,42
1/1/2022,3040.5,201,1268,48,576,789.5,42
1/2/2022,3188.5,201,1402,48,576,801.5,42
1/3/2022,3271.5,201,1447.5,48,576,801.5,76.5
1/4/2022,3402,201,1447.5,48,576,801.5,207
1/5/2022,3494,223.5,1463,48,576,801.5,261
1/6/2022,3615,223.5,1574,48,576,801.5,261
1/7/2022,3735.5,223.5,1676.5,48,576,801.5,261
1/8/2022,3811,223.5,1748.5,48,576,801.5,261
1/9/2022,3881,223.5,1769,48,576,801.5,300
1/10/2022,3982.5,223.5,1769,48,576,801.5,383.5
1/11/2022,4045.5,223.5,1769,48,576,801.5,438.5
1/12/2022,4163.5,223.5,1769,48,576,905,438.5
1/1/2023,4292.5,223.5,1776.5,48,596.5,932,516.5